epoch,loss,rmse,val_loss,val_rmse
0,84697.58960130835,291.0284,72035.94015979477,268.39508
1,67813.79678046603,260.4108,63957.84214754522,252.89893
2,62255.691093188376,249.51097,57010.295664784244,238.76833
3,59305.38136964686,243.52756,57604.64364414419,240.00974
4,56860.39686094011,238.45384,53686.630769994445,231.70381
5,55157.16921163607,234.85582,51796.05890437408,227.5875
6,53630.2309424777,231.58217,50206.737484438345,224.06857
7,52531.659641137645,229.19768,49776.66266667113,223.1069
8,51886.501442628745,227.78603,49054.3987118846,221.4823
9,50980.8643427937,225.78914,46332.694207500535,215.25035
10,50339.67204050657,224.36507,58862.445102981015,242.61588
11,49640.73121880283,222.80202,50598.35298908674,224.94075
12,49288.78589931456,222.01082,45134.292295274376,212.44841
13,48612.17690360446,220.48158,46148.81785643808,214.82271
14,48479.397364800716,220.18024,45806.07529085986,214.02351
15,47610.29439743426,218.19806,49082.29451547517,221.54518
16,47580.33019186068,218.12932,46089.77123815974,214.6853
17,47177.45841572866,217.20393,44628.31020792932,211.25412
18,46627.1853444396,215.93327,58087.18353939079,241.01282
19,46749.36263916272,216.21593,45419.388536357634,213.11826
20,46194.9475027453,214.9301,43912.72075504794,209.5536
21,46064.579500182335,214.62677,47179.29384215181,217.20801
22,45518.60483060564,213.3508,42508.21250051771,206.17522
23,45198.01067807494,212.5985,43362.35320941666,208.23628
24,45200.33641363192,212.60352,46439.80592192616,215.49889
25,44847.51944697404,211.77217,41602.308379663016,203.96638
26,44552.515268341835,211.0747,42848.54180330066,206.9989
27,44359.20426251708,210.61603,44731.98309413249,211.49934
28,44302.96888415553,210.48273,44132.511291794166,210.07741
29,44000.61282864739,209.7634,41934.33057131685,204.77866
30,44115.18336592602,210.03607,44799.38913324311,211.65869
31,43670.25078579558,208.97415,44225.011651143584,210.29753
32,43230.38502823004,207.91919,41852.46293782768,204.57869
33,42655.69935511742,206.53265,40614.23197276436,201.52966
34,42794.05196393438,206.86731,40346.38972845365,200.86415
35,42495.794558517075,206.14508,40441.05631515492,201.09964
36,41633.24703985904,204.0421,42664.680528545134,206.55438
37,41123.08963012695,202.78827,38247.41141625697,195.56946
38,41188.706275282784,202.94992,39747.00787432028,199.36658
39,40275.38874796058,200.68716,38884.04317491912,197.19034
40,40140.97394638703,200.35213,39193.773592050704,197.97424
41,40449.31156498244,201.12015,39547.070313032935,198.86446
42,39666.258560148606,199.16406,39317.64021327083,198.28677
43,39632.121289052884,199.07816,37971.85406789633,194.86368
44,39740.27487932734,199.34975,38516.22976215636,196.25551
45,39292.383631169294,198.22348,39903.535520624224,199.75871
46,39216.43329924896,198.03127,39147.915805649216,197.85832
47,39090.28054767897,197.71255,38994.18146353882,197.46945
48,39685.25779499727,199.21144,36671.38498252892,191.49773
49,39485.49601835363,198.7096,42222.24332066881,205.48047
50,38720.53901613059,196.77519,41154.44067643569,202.86563
51,39030.245093097205,197.5608,42721.22141390597,206.69115
52,38309.271989421686,195.72739,38163.08096066281,195.35382
53,38070.698129605844,195.11723,33954.46237581128,184.26727
54,37969.23567799159,194.85707,41745.60506235017,204.31735
55,38753.988826447174,196.86026,37615.1633721989,193.94629
56,38767.422024574604,196.89467,37544.5548020807,193.76418
57,38644.0150451019,196.58098,39533.00479198541,198.82904
58,38429.74422188767,196.03497,35792.830919779204,189.18991
59,37827.46486609323,194.49286,37802.22912438728,194.42802
60,38335.984011000946,195.79572,36092.816343592254,189.98117
61,37702.87615768048,194.1726,34405.848338480966,185.4881
62,37768.77162689722,194.34184,35775.96314019013,189.1453
63,37581.2872627643,193.85887,38630.06181647477,196.54526
64,37703.00620486155,194.17252,33681.08036864987,183.52406
65,37057.76890935818,192.50397,36167.83565024887,190.17844
66,37124.160274922346,192.67645,34934.98410800034,186.90898
67,37137.23331310369,192.71016,35534.23275830828,188.50531
68,37434.64849278105,193.48024,39199.869092432586,197.98962
69,37172.734569501474,192.80223,38839.880254267126,197.07838
70,36841.34313500028,191.94116,44133.51458501842,210.07974
71,37230.42403508034,192.95174,35775.228369296696,189.14342
72,37172.03888979679,192.80049,40252.55319315458,200.63039
73,37121.86870635858,192.66989,36495.75869549461,191.03864
74,36941.736607543564,192.20258,37491.21856804129,193.6265
75,36821.091120391335,191.88814,32814.81025025946,181.14857
76,36581.23700906449,191.26236,35518.216669123234,188.46275
77,37154.52048094934,192.75504,38260.93102851285,195.60403
78,36898.5578331186,192.08992,35873.75682368003,189.40363
79,36455.39855413677,190.93271,36718.19093589816,191.61992
80,36784.90599742857,191.79367,37619.32782800379,193.95694
81,36204.28642588703,190.27417,47273.5740696809,217.42487
82,37571.96591678587,193.83488,36600.52896752212,191.31264
83,36609.37381035941,191.33571,36214.3902065711,190.30077
84,36188.26702888873,190.2322,36281.20680178408,190.47626
85,36318.27811569727,190.57387,37081.938323153794,192.56664
86,36866.83974559367,192.00754,35649.60605147467,188.81094
87,36268.80348803416,190.44377,38894.73781546616,197.21748
88,35848.82102817247,189.33772,35460.966097818564,188.31082
89,35899.60449781338,189.47192,36301.15286891786,190.52861
90,36052.43895748683,189.87502,33865.98047225214,184.0271
91,35781.061330426644,189.15881,33178.20738755409,182.14886
92,35371.19803237915,188.07248,36921.07880951496,192.14853
93,36168.71991734545,190.18068,35576.97248449316,188.6186
94,36255.399276396805,190.40837,35495.33224145418,188.40204
95,36518.16622668354,191.09714,36867.85445099936,192.01003
96,36041.69458817234,189.84662,36157.74736494857,190.15192
97,35926.844428342934,189.54372,38958.46288567633,197.37892
98,35733.857005255566,189.03395,35203.18786231862,187.62517
99,36003.09246704358,189.7448,37478.99172552282,193.59494
