epoch,loss,rmse,val_loss,val_rmse
0,94841.7221238593,307.96423,77709.04122346904,278.7634
1,73181.66224503718,270.52115,68725.24854493939,262.155
2,66399.08020391384,257.68005,64074.26710533689,253.12894
3,62582.39462959867,250.16493,67048.36467114047,258.93704
4,59857.43183026995,244.65762,59239.85571846739,243.39238
5,57552.311961326275,239.90073,56607.97053015003,237.9243
6,55812.12756834912,236.24582,53858.822891593416,232.075
7,54288.83362835796,232.99959,57645.902101036874,240.09564
8,53226.32135984277,230.70811,55939.31382380672,236.51497
9,52602.59386630018,229.35243,55119.465665990196,234.77538
10,51665.879459541386,227.30139,53825.72040209373,232.00372
11,50750.17854745047,225.27797,55036.04093477138,234.59764
12,50190.46735580829,224.03252,48400.698578316245,220.0016
13,49774.97633849072,223.10287,48421.76852385349,220.04948
14,49194.284072491304,221.79782,49935.63062275254,223.46283
15,48957.314555961544,221.26294,48774.944377886975,220.85046
16,48614.95132638627,220.48793,47553.35955102031,218.06728
17,47956.63572263317,218.98993,47857.640545516784,218.76385
18,47863.25407537893,218.7763,50464.1726967834,224.64232
19,47712.93159613088,218.4331,47930.867187195465,218.93114
20,47058.96041953463,216.93077,45803.75138501793,214.01817
21,46782.537981882815,216.29263,43924.57232470448,209.58192
22,46604.059729311644,215.87973,46290.35369362478,215.15195
23,46631.039184954985,215.94217,46811.07726408406,216.35867
24,46566.935147838434,215.7937,49572.138458853886,222.648
25,46094.40853580507,214.69617,43067.24939184679,207.52652
26,45919.25573621477,214.28789,47285.68561615635,217.45274
27,45458.622408570365,213.21014,42495.00791710723,206.14314
28,45702.66590567196,213.7817,42409.767997924304,205.93634
29,45013.40631616416,212.16367,42395.741064380796,205.90227
30,44815.538996207615,211.69673,39868.72661274801,199.67152
31,44871.83937149689,211.82968,48042.59115141645,219.18616
32,44518.51911881391,210.9942,47131.99175460576,217.09909
33,44171.46303648107,210.17,42568.45597741215,206.32126
34,44601.100235113576,211.18967,43280.20557847339,208.03902
35,43993.41410846871,209.74594,42622.59287872993,206.45241
36,43740.69502091608,209.14279,42687.89642894992,206.61053
37,43656.17652880244,208.94075,40525.995786780324,201.31065
38,43943.76359840201,209.62782,39437.509893224495,198.5888
39,43485.27305397867,208.53123,39328.89737620108,198.31516
40,43256.01663227242,207.98094,39394.37212185478,198.48016
41,43351.27220435904,208.20972,38967.454014542076,197.40175
42,42828.4705545762,206.95038,45263.51266813289,212.75223
43,42887.51821232643,207.09311,49066.19507283221,221.5089
44,42754.12622608858,206.77104,40890.09580818903,202.21301
45,42288.49392789953,205.64148,38906.611915722206,197.2476
46,42501.039013774454,206.15805,38227.30685958452,195.518
47,42221.90464263403,205.47955,43651.7562695815,208.93001
48,42600.83772098317,206.39978,40452.22018557048,201.12733
49,42273.97950077858,205.60632,40395.49174501296,200.98628
50,42238.358641359984,205.51967,41032.04086000843,202.56364
51,41947.325398549314,204.81058,39514.48106121974,198.78247
52,41660.85349709647,204.1099,40421.069947059914,201.04994
53,40860.695788151075,202.14029,39277.95496620897,198.18669
54,40076.182185581754,200.19026,38409.70717514204,195.98396
55,39710.920153898354,199.27608,43978.64709633488,209.71083
56,39035.730852656,197.57475,40050.4097538091,200.12604
57,38571.01418291621,196.395,36253.560973374035,190.40363
58,38855.03584783217,197.1168,35343.22893253123,187.998
59,39328.8484985608,198.31471,37416.68591048789,193.43384
60,38933.43549802123,197.31537,35813.8832318425,189.24553
61,38257.72605562611,195.5958,34915.05407508332,186.85571
62,38361.395786830355,195.86053,36436.505724466704,190.88345
63,38489.10677741555,196.1865,38315.84839185044,195.74432
64,38233.93912980537,195.53513,34107.73105193147,184.68279
65,37576.96086838666,193.8479,37025.05115917596,192.41893
66,39110.719544995736,197.76422,37182.64883643876,192.82806
67,38864.02580331754,197.13948,37245.52573657495,192.99107
68,38065.45621355842,195.10376,36969.86768769612,192.27551
69,38230.238952316155,195.52562,36317.16455828038,190.57065
70,38446.66856890766,196.07826,38161.54405273666,195.34976
71,38474.637050532496,196.14964,35331.58838625312,187.96696
72,38053.278390772204,195.07253,36800.21489612974,191.83382
73,38620.29033090287,196.52046,37475.48023776141,193.58586
74,38274.94671194894,195.63995,36015.52309261592,189.77754
75,37917.80915140104,194.72495,34356.51983334714,185.35513
76,37213.12550296303,192.90683,36447.45846240474,190.91222
77,37841.77693317317,194.5295,39206.265954657414,198.00568
78,38539.47661212312,196.31488,38233.138685122205,195.53299
79,38411.01669715432,195.98743,36464.659098910015,190.95715
80,37834.76727435969,194.5118,36596.81483287816,191.30292
81,37689.02130357758,194.1367,34495.58650530253,185.72983
82,37231.86348019127,192.9556,33358.89210670729,182.64421
83,37436.70015831955,193.48564,32584.30404828438,180.51125
84,37325.552113444865,193.19812,34264.25518353924,185.1061
85,37012.80385083111,192.38705,30933.974122197684,175.88058
86,37039.21535735571,192.45575,31510.972354228994,177.51329
87,36865.84420442982,192.00482,34157.79494304007,184.81827
