epoch,loss,rmse,val_loss,val_rmse
0,108509.42887198825,329.40823,86492.81356282158,294.09662
1,73494.26708727925,271.09824,92344.33655083028,303.88208
2,68707.0515429072,262.12036,75933.59199527852,275.5605
3,66117.9446616293,257.1342,71860.65529985577,268.06833
4,63947.71385846819,252.87894,72262.6604452522,268.81714
5,61618.28061195181,248.23007,68191.63767833477,261.13538
6,59408.075330718224,243.73763,69689.54590902003,263.98776
7,58041.36960197898,240.91766,67124.48675218777,259.08395
8,56263.02009133732,237.19823,70708.49373940224,265.91064
9,55185.1597264394,234.91536,66585.06110950047,258.0408
10,53841.491311465994,232.03767,59767.861290515124,244.47467
11,53121.97405621184,230.48172,64091.11350812739,253.16219
12,52511.414259453784,229.15344,60994.735101921244,246.97108
13,51710.40897196281,227.39908,59432.00073818897,243.78676
14,51184.011871850795,226.2389,59558.65056009784,244.04639
15,50584.30802802078,224.90956,56543.255180722306,237.78824
16,49912.903089763735,223.41199,63432.39031559406,251.8579
17,49924.38816205193,223.43767,55520.89220979185,235.62874
18,49593.20857944008,222.69534,56508.67823487565,237.71555
19,48682.91897865103,220.64198,56437.37898603775,237.56557
20,48178.77164029674,219.4966,54914.13682655482,234.33766
21,48294.09511970071,219.75925,54224.799775680694,232.86218
22,47536.109316016446,218.02783,56248.5516162806,237.16776
23,47288.55715198677,217.4592,52631.004183679936,229.4145
24,46766.58850892652,216.25581,58272.10176897365,241.3962
25,46572.26761043773,215.80588,52905.907350888265,230.01286
26,46405.94523966813,215.42043,53564.21916325183,231.43945
27,46392.51869958188,215.38911,53880.48230173657,232.12173
28,46362.38532776392,215.31934,54802.84286289419,234.10007
29,45329.41168469341,212.90706,51821.77841418492,227.64397
30,46356.62318279363,215.30568,52171.34127444794,228.4105
31,45150.31595489758,212.48616,58464.5735387269,241.79451
32,45506.904632055455,213.32336,62672.971138455505,250.3457
33,44616.45540843291,211.226,50421.97458181473,224.54834
34,44225.804213067066,210.29935,53651.853387568706,231.62874
35,44232.39017569918,210.31502,52906.993164138636,230.01521
36,44637.436701157516,211.27579,52811.96869807706,229.80853
37,44600.584623705436,211.18848,53456.30108669701,231.2062
38,43686.721226796384,209.01369,52236.521426056854,228.55307
39,43652.56045275776,208.93188,51533.25264213183,227.00935
40,43159.30068585051,207.74815,49938.62772191958,223.46951
41,43213.36818124467,207.87811,53897.79381459153,232.15901
42,42377.34118190733,205.85754,51652.60479999464,227.27206
43,42196.03958796654,205.41696,52211.42801347987,228.49817
44,42211.39106378635,205.45416,50804.922535532954,225.39952
45,43004.7269428157,207.37575,51633.40583964124,227.22987
46,42089.98641454873,205.15837,50268.697044686014,224.20677
47,41780.37570959781,204.40233,52580.9707181994,229.30537
48,41836.623938552475,204.54005,51920.648270920225,227.86101
49,41540.493960596934,203.8147,48540.460118914205,220.31898
50,41412.96090852113,203.50166,50381.81552949832,224.45894
51,41344.66325519465,203.33386,50438.62928965756,224.5855
52,41196.640155439614,202.96973,50327.06764204656,224.33698
53,40685.153182598726,201.70567,56229.54004553383,237.12773
54,40432.60713721524,201.07866,54729.70845098474,233.94382
55,40642.19809036896,201.5991,49527.07733366994,222.54678
56,40096.14637846105,200.24014,51150.39521980003,226.16455
57,41296.512377057756,203.21541,49511.67604634633,222.5122
58,39908.29527987953,199.77065,48233.373668123146,219.62102
59,39573.38272069082,198.93048,47951.82460489836,218.97906
60,39459.178524241725,198.64326,48722.34535854545,220.7314
61,40044.87811253652,200.11226,47726.45678945047,218.46387
62,39206.42196193663,198.0062,48772.03848647506,220.84393
63,39523.61627915326,198.80551,47474.768369759586,217.88705
64,39337.0911460043,198.33578,48033.93667852114,219.16644
65,39271.97482043354,198.1716,47361.97716684655,217.62808
66,39256.61768911666,198.13272,46905.54330815248,216.57689
67,39323.76142229353,198.30237,53292.87633416085,230.85248
68,39808.43126825926,199.52048,49206.160680656525,221.82463
69,39543.19816602178,198.85472,46648.04959326518,215.98158
70,38595.474383827015,196.45755,48894.796708420225,221.12166
71,38661.65569658039,196.62578,51387.15465059055,226.68732
72,39262.308010582165,198.14723,51162.468771926404,226.19125
73,39222.059941139545,198.04546,50492.30717553793,224.705
74,38743.915257301654,196.83476,48739.392722473836,220.76999
75,38759.81757284213,196.87508,47298.10631946407,217.48131
76,38019.94774839257,194.98705,46689.18953991702,216.07684
77,38191.687329717046,195.42694,49564.691870511175,222.63127
78,38549.15799360516,196.3394,49119.75659101651,221.62975
79,37582.76050317588,193.8628,47637.01907612482,218.25906
80,38418.74767425281,196.00702,47043.02861624284,216.89404
81,38177.22182432543,195.38991,46703.18540085123,216.1092
82,38399.97675817153,195.95915,47693.935644630226,218.38942
83,39019.66014753069,197.5339,47280.14413078857,217.43999
84,37810.54237378545,194.44931,46608.525789716026,215.8901
85,38509.18228457154,196.23766,46266.846906488754,215.09726
86,38350.37732215689,195.8327,55469.31568846476,235.51927
87,38087.394274158636,195.15984,48305.17408515119,219.78441
88,37472.1333030893,193.57715,48610.970902746645,220.47899
89,37717.81143573152,194.21068,48070.91335978916,219.25082
90,37971.30196143399,194.86224,47796.96662603176,218.6252
91,37635.36013742655,193.99823,49283.30916337974,221.99838
92,37182.62706557843,192.82803,46188.52435125248,214.9152
93,37307.83118188682,193.15216,52642.01822388809,229.4385
94,38224.56969522428,195.511,49862.86391467948,223.29994
95,38444.85084828609,196.07356,46927.73064522711,216.62808
96,36757.02435456605,191.72115,52174.9786783981,228.41846
97,36074.91107305959,189.93416,45058.912756965285,212.27086
98,36458.094761696186,190.94,44463.532528583506,210.86382
99,35886.834500096425,189.4382,44241.679461536216,210.3371
