epoch,loss,rmse,val_loss,val_rmse
0,187328.49771451548,432.8147,86759.66818588231,294.54993
1,76939.03196806066,277.37885,85130.11136969381,291.77063
2,75172.43409434086,274.17593,82744.83460486181,287.65396
3,72959.74768579307,270.1107,79130.00101165997,281.30057
4,69603.50899217109,263.82474,81588.88526643018,285.63766
5,67059.63351209625,258.9588,74058.80302657481,272.13748
6,65282.839708344276,255.5051,71362.00804150912,267.1367
7,63313.149397649686,251.62112,69490.03250833203,263.60962
8,61804.636043772975,248.60536,67769.36262254424,260.32544
9,60473.210586676076,245.91307,69268.2432685936,263.18863
10,59225.474615529805,243.3628,67248.95289172741,259.32404
11,58602.32740899094,242.07916,67800.59162557496,260.38547
12,57492.16767331933,239.77531,63856.69129996784,252.6988
13,57430.78597483916,239.64719,64508.36225070895,253.98492
14,56632.15703576352,237.97505,63142.94908262357,251.28265
15,56170.96947421547,237.00415,61971.21450449979,248.94016
16,55661.26277942818,235.92632,65254.91591467218,255.45042
17,55138.08667197348,234.81502,63736.495792566464,252.46089
18,55346.22457654937,235.2577,61796.87143695915,248.58974
19,54683.27978925945,233.84453,62029.772868022534,249.05777
20,54329.37493024553,233.08662,62169.36446984389,249.33783
21,53693.65209755777,231.71886,60483.83320583535,245.93463
22,53355.07165014443,230.98717,60918.23327685254,246.81625
23,52714.91657776392,229.59735,60249.17045891966,245.45705
24,52730.606808446035,229.63145,59945.899003932136,244.8385
25,52220.094685530465,228.51714,60319.164135283485,245.59958
26,51735.1945513557,227.45369,58021.34881439054,240.87622
27,51784.94807395615,227.56305,58556.94945293619,241.98544
28,51623.42647058824,227.20786,57939.454882157755,240.70615
29,51351.70329117975,226.60922,59386.45464858063,243.69336
30,51003.65485901392,225.83997,57618.65749188723,240.03888
31,50834.54929178703,225.46529,57792.71710704228,240.40117
32,50036.25896960346,223.68791,61517.23422699676,248.0267
33,50091.44898281578,223.81119,56962.79057237663,238.66882
34,49683.79346934086,222.89865,59822.37907039351,244.58615
35,49277.08234104189,221.98445,57842.06164639286,240.50378
36,49707.241750508794,222.9513,56924.01989638555,238.58755
37,48666.250672925424,220.6043,56577.98731283377,237.86128
38,48575.4863240218,220.3984,59526.07180349556,243.97964
39,49269.78170340402,221.96797,57019.14066428481,238.7868
40,48586.21311630121,220.42287,55824.29246322455,236.27167
41,48451.319664193805,220.1167,61587.68271791192,248.16866
42,49241.333668428306,221.9039,61492.29875336205,247.97643
