epoch,loss,rmse,val_loss,val_rmse
0,96299.17895379587,310.32104,90776.07663400445,301.29065
1,73325.1630063097,270.7863,79670.41443707609,282.2595
2,67020.49722007944,258.883,71195.93285951996,266.82568
3,62314.85114525547,249.62944,66627.13625494562,258.12225
4,59157.44478805926,243.2231,68248.71261182467,261.24454
5,56865.28453858961,238.46437,62771.26326547517,250.54202
6,54968.078842419534,234.45253,60231.220380167324,245.42058
7,53711.769068741996,231.75816,60652.08236380048,246.27637
8,52798.47686889392,229.77936,59281.496524360235,243.47792
9,51582.23454387248,227.11726,57626.00624719829,240.0542
10,50899.67241149389,225.60947,59371.22632070047,243.66216
11,50426.55742375991,224.55862,58763.96588982225,242.41277
12,49551.747633861894,222.60211,55795.67991285472,236.21106
13,49054.41043635777,221.48238,57406.43164991327,239.59636
14,48495.88468740768,220.21768,55628.32343883995,235.85658
15,48032.153308515786,219.1625,56672.17670124542,238.05922
16,47676.638956278315,218.34976,55225.39320652968,235.00085
17,47262.67053774024,217.39977,55062.92728473143,234.65497
18,47531.98726160386,218.01837,57175.82788685487,239.11475
19,47197.693688272426,217.25021,54723.96993280775,233.9315
20,46565.61267166779,215.79057,54694.803340548744,233.86923
21,46037.93948710465,214.56448,58006.12314234622,240.8446
22,45186.63163879138,212.57156,55606.861873696595,235.81108
23,45722.26100043289,213.82751,56847.55457939064,238.42723
24,45458.07306831424,213.20905,62280.94315944882,249.56165
25,45216.41983724642,212.64166,52702.52777512157,229.57027
26,44799.4099525644,211.65909,53767.2522389296,231.87769
27,44497.91151069192,210.94531,54054.449933794436,232.49614
28,44439.95640705012,210.80797,51612.50395862974,227.18387
29,44479.48269614853,210.90164,50604.66730060371,224.95482
30,43861.093670564536,209.43044,51373.2705130657,226.6567
31,43609.83283663197,208.82951,53491.227573246375,231.2817
32,43856.427694368766,209.41943,56363.22623116765,237.40941
33,43752.52532926928,209.17064,52001.12149086156,228.03755
34,43730.54371502019,209.11841,52386.12832520026,228.88022
35,43217.40163357518,207.88806,50581.3512817202,224.90295
36,41968.04103735916,204.86089,51459.18324658192,226.8462
37,43010.255412125785,207.3892,54031.78453835172,232.4474
38,42100.761022615836,205.18446,52062.67282316476,228.17249
39,42172.83945240694,205.36024,52781.95880789789,229.74327
40,41706.06548232391,204.22078,51547.5919386353,227.04092
41,41808.17626388934,204.47058,51894.47204809679,227.80359
42,41767.96627724271,204.37198,49504.48937422039,222.49608
43,41298.00782904104,203.21901,67483.62995871746,259.7761
44,41044.97189593916,202.59549,48166.66241131987,219.469
