epoch,loss,mse,val_loss,val_mse
0,530.5766739891952,1004062.25,483.5206177937874,854123.2
1,485.0018200173465,878182.5,479.40464932369093,816967.1
2,473.23323829779326,845234.25,459.89857079080355,778786.0
3,456.2397068544801,795047.8,449.9072043416786,769661.0
4,447.13480259589767,763713.1,442.0313678256138,716601.1
5,438.8885036717724,728465.3,433.7447013105058,703229.1
6,431.82377774141315,704630.8,427.64085416969607,690894.1
7,427.93346726646604,697631.2,424.3500269329213,653343.5
8,424.27608608918706,691042.25,423.8062876270081,661676.1
9,421.0525485224788,684863.44,420.32512166103373,661928.94
10,418.52637147302704,679864.06,413.67818254406774,658951.0
11,415.58790864242906,674661.3,414.1899672751345,658654.94
12,413.852044388649,670320.56,414.8648538304989,658797.94
13,411.7062957055211,666027.75,408.64287607620724,637935.1
14,409.6992401896861,662934.4,406.98089395630467,629598.2
15,407.8542479041168,659154.0,405.82217846227036,646663.5
16,406.0053318630549,656166.94,402.7238080373158,635637.44
17,404.4766324144382,653454.8,402.93501430291724,623823.94
18,402.43892068256673,651168.2,400.9466837060936,631669.3
19,401.4847562638164,649844.8,398.5716801648084,614023.3
20,399.9842449482063,646234.25,400.9194172093893,626717.75
21,398.32692317143267,644155.3,396.3501738120445,620541.25
22,397.1926709808201,642609.8,392.6547709228595,608597.0
23,395.7443491150089,640425.6,393.8762535709188,624465.0
24,394.3042768613663,638187.9,390.9430627139346,610336.5
25,393.378688990327,636678.75,396.8794843920492,613013.25
26,392.09279264137484,635339.3,392.213877472308,626014.56
27,390.66920366081047,633739.9,388.38519993495044,603747.0
28,389.95405216294824,633035.7,386.9474019859448,608845.7
29,388.5594064990871,631053.75,387.70276538067446,611785.4
30,387.4622326188498,629896.94,385.41806473787204,597832.3
31,386.3597061345987,628795.0,393.96710495690274,638173.3
32,385.3639107045101,626565.56,384.35923651450423,589051.75
33,384.6163629117158,625643.8,381.00759885934025,605342.8
34,383.74700790990096,624680.75,380.56815235127067,609725.4
35,382.764739697302,623135.0,381.7998484840719,591416.6
36,381.9697950835394,621618.56,382.2272568935139,608078.5
37,381.20626115293805,620807.9,390.19027284060024,588332.7
38,380.3222748697522,619061.6,379.9783917504704,590729.8
39,379.47530743687645,616868.56,379.1313125285064,589096.7
40,378.7890345511425,615632.75,375.881835090982,592592.75
41,377.95148703898855,613974.6,375.3638087693942,576721.8
42,376.9291846905538,612309.9,381.66879421619825,580133.1
43,376.1872160921779,609762.25,372.7183028117483,579128.0
44,375.3155137405621,609237.75,376.60388949532893,579113.6
45,374.21639641762164,606628.9,372.34426087524383,583149.06
46,373.702913050654,605114.94,372.6796993446467,591554.44
47,372.8667957223666,603314.6,369.6590112370295,575024.94
48,371.89354549558686,601039.0,370.8606225187006,569076.4
49,370.92565664225316,599478.75,370.47777878780175,577139.6
50,369.64770852842383,597345.75,368.40560786933844,565500.75
51,368.81409815870416,595306.0,367.40661038548484,571265.0
52,368.23330789102556,594532.25,366.9586618043203,563081.94
53,367.1338023654322,591920.2,368.3543278011964,564366.75
54,366.62853066059034,590601.3,365.4009402562361,567403.5
55,365.70533177804884,589001.8,365.5655052477597,571391.1
56,364.7198269251071,586785.8,364.2382953006571,571006.0
57,363.51774002879023,584627.0,366.559009751385,560455.06
58,362.8644322888612,582602.6,363.58294093978225,563844.5
59,362.0981208465985,582250.44,362.3984757672354,568893.0
60,361.17042274237843,580196.56,363.39124464784885,562803.3
61,360.6514301255582,578907.8,359.81629855618246,558891.1
62,360.02010775952596,579563.5,359.22710967094,544044.3
63,358.95687289905817,576680.7,358.5319366724775,547916.06
64,358.4316667506777,576011.75,359.548651186233,577170.0
65,357.57629602828445,574235.6,358.38586418736105,554846.1
66,357.02809380274454,573251.9,359.4088854074728,557478.25
67,356.5323621745634,572193.56,354.881020698868,547082.2
68,355.88674186269174,571791.4,358.7131278283607,559181.75
69,355.0177733727953,569044.75,356.0781106422187,549433.8
70,354.33563115376376,568296.0,354.1559031588026,533588.0
71,353.5263554656844,566799.4,358.36954567449004,550408.9
72,352.9869799304385,566135.4,356.255159388303,553218.56
73,352.53199387891584,565279.2,351.1205302904691,533520.44
74,351.7021024895217,563868.06,353.0252952921061,553381.7
75,351.7955597369484,564144.6,356.4575205384853,538391.6
76,350.7526041153726,562043.0,353.5917610999839,557306.1
77,350.2060136554096,560572.7,352.72011756573613,550192.2
78,349.53499205419905,560710.0,350.2995638922171,553148.7
79,348.9639579650295,560425.4,350.53351689255334,542521.8
