epoch,loss,mse,val_loss,val_mse
0,484.09547340341675,845452.0,486.67684827764043,848506.4
1,455.64366831746565,776631.9,441.84877040414324,677505.6
2,439.77810438318977,710805.9,429.6144222428357,673902.94
3,434.0741271794208,698030.44,425.2749775638614,674373.3
4,430.16911937877904,691109.4,425.1092002969651,673955.2
5,427.7209976578793,687654.06,419.5693394589707,641640.94
6,424.65351248079696,680779.06,419.8245143664028,658941.1
7,421.5873944273906,674376.56,415.9581213240645,645417.94
8,419.52629275149707,669586.2,421.0178484636498,661490.06
9,419.1959689040602,665177.8,416.8510360494861,650379.1
10,415.68013585182763,658521.75,419.173155742054,623076.56
11,413.6945783230798,653921.8,410.7304289075146,644789.2
12,412.2565963806647,650832.94,411.9480426569408,642909.1
13,411.11514588229693,649978.0,405.891936097814,611976.7
14,409.44524987480474,646015.94,407.4803557921397,624996.94
15,409.0805992100451,644446.75,411.9730962246857,650004.7
16,408.01701588804957,643988.6,402.78253538854597,619558.6
17,407.01852574466534,642164.0,405.2990988918624,605181.56
18,405.7671534874879,640836.6,404.2120710822259,626545.94
19,405.03901070357045,638310.4,411.0508425999861,636817.06
20,404.4329112311544,638145.9,400.77905451987846,602584.9
21,404.01216270378586,637464.4,405.19164797766354,595125.75
22,403.6445008524685,635695.4,402.8326914448486,627984.44
23,403.8535995640409,635500.4,400.28945461614853,606075.1
24,403.42314424902446,635661.4,403.8557803963048,607817.0
25,403.58569481152256,635958.06,401.4835002464215,621815.44
26,402.74624997104047,635562.44,397.35664304874933,602676.3
27,402.6685785309932,634014.4,402.73348245743534,616082.56
28,402.6156018753963,633265.6,402.8607746992939,600924.25
29,401.6602329032742,631901.44,406.63327922091077,588241.25
30,402.2899501315571,632568.44,399.80920726086885,597495.06
31,401.6262096736635,632191.9,409.9735389700941,613222.06
32,400.72809245214995,630266.06,409.1577763786711,638391.56
33,401.9298248405732,631912.56,400.9250890668997,604870.25
34,400.35644107934854,629137.75,404.6314157497589,592595.75
35,400.63472853915414,628526.25,409.453131114964,586225.9
36,400.42207660934173,628784.5,397.5416040969902,598904.8
37,400.8273727935997,628994.44,399.6662850158579,605938.3
38,400.30858133003653,628846.94,394.8521755804546,604532.4
39,399.79255912504226,628729.2,399.84886641513214,613136.44
40,399.52334816001775,625973.7,403.39182727567277,600292.06
41,399.35903291635714,627381.4,403.191662267195,630894.1
42,399.43396037414834,626312.25,406.52609301475127,638868.94
43,398.3976437842195,625916.0,400.04761181958537,608187.5
44,398.01300309512476,625043.1,399.98016657831175,610686.3
45,398.6538259239235,624585.8,396.9237646680758,615423.3
46,397.9125448951597,624018.56,399.74650294401556,599338.0
47,398.31439255936994,624446.8,397.6575138590292,590034.6
48,398.09052868275705,623739.25,396.73672406203787,597998.8
49,397.3579837233051,622609.3,403.4634263354738,634420.8
50,397.2027350557434,623333.25,399.79168646351854,600475.3
51,396.6124205079697,620645.25,406.015939156137,642753.3
52,396.6885463684791,620921.75,394.19896424971233,616380.06
53,396.35848233111784,619656.94,391.1667042965368,594766.44
54,396.04736315969694,619141.44,390.99254941119864,589580.6
55,395.7422353536612,617372.44,398.81390984429987,610759.94
56,395.41577312818004,617754.75,401.6220091419449,622960.06
57,395.5628957310622,617754.94,392.8458376178811,577725.5
58,395.5770017386169,617544.8,389.27186238435047,591444.7
59,394.402719857951,615472.4,391.96749507949596,582635.4
60,394.36233599511496,614183.4,393.847378015286,582705.2
61,394.0393569909325,614114.0,391.10295116483866,591587.5
62,393.1494234917255,612276.4,395.5838556954627,605038.5
63,393.8158583041652,613139.75,390.2463673360204,572414.6
64,393.46041708146885,613160.0,397.1695630867812,571788.9
65,393.41952266930514,613223.94,389.35554909435217,583073.44
66,392.55833848582284,611983.2,395.91311919717987,574640.9
67,392.8027529530331,611051.6,413.77985168551703,649009.5
68,392.60401783166355,610970.8,390.9625638415449,588170.0
69,391.8024199139102,609396.75,386.6241676713921,569007.4
70,391.73498364564836,609057.94,401.6596333826018,574125.2
71,392.4212615924618,610534.56,394.63106800370093,589968.56
72,392.0779183644572,607539.9,390.69609593311367,601094.6
73,390.99547614673804,607624.9,402.97486552098906,558318.2
74,391.6258960924138,607815.5,389.8928567284832,587604.6
75,391.20859215147897,606970.94,395.10042330587737,606319.0
76,392.03165558230506,607459.6,393.8526566338282,600768.8
77,391.4402263469833,606819.0,387.89373441240093,573230.6
78,391.72351560152833,607903.0,387.396871237013,578612.06
79,390.4869454877051,604496.0,386.0496747981795,578617.75
