epoch,loss,mse,val_loss,val_mse
0,169.5750467957569,90317.2,154.82636746395923,99679.07
1,142.06673301969255,69731.98,133.67834356552888,93891.68
2,128.84342697087456,62984.645,126.20931025786328,88810.836
3,122.82043004637005,59769.652,121.60921513364201,85157.99
4,119.65376032500708,58006.65,118.46655691457183,84922.44
5,116.74956495621625,56498.4,114.78004400488685,82232.27
6,114.88066889658695,55479.562,113.0589675712987,81151.88
7,112.67268419466099,54104.598,114.03849695529404,82443.44
8,111.16618498032834,53136.492,113.13668986512539,85021.586
9,109.86391067304531,52360.688,115.49190571202746,85141.38
10,109.0545064641648,52079.18,107.91716519280905,78609.87
11,107.82581400871277,51393.52,111.89961030929898,79020.18
12,107.08577756320729,50926.008,105.72675570027533,77820.5
13,106.72159743108669,50984.926,104.49560586250217,77070.766
14,105.86013652296627,50433.82,105.7022334094578,77535.91
15,105.26797803510136,50092.13,102.44433105961238,76121.85
16,104.0776599855984,49218.285,103.2987663023394,76267.664
17,103.64488728707578,49038.684,102.33510957299906,75257.89
18,103.09564387898486,48683.184,102.6251141114033,75558.48
19,102.87829800213085,48427.746,102.48408287870937,75151.48
20,102.19684765318863,47967.66,103.13261883162352,76336.94
21,101.65109205646675,47619.094,102.04236056050573,73800.44
22,101.13953915964656,47259.824,99.96820267138797,74189.45
23,100.68952251181884,47043.066,101.18067702241872,75119.6
24,100.42101729016345,46986.496,101.26197398111307,74925.77
25,100.05625097290809,46680.62,98.90732568514973,73764.234
26,99.59122063532597,46359.7,100.09258919538411,74032.36
27,99.25660452722501,46479.676,99.62202379740138,73203.87
28,99.24859303085744,46328.484,103.93495626338805,75286.52
29,98.89458857063485,46053.793,98.02858689699912,72023.836
30,98.42060741055913,45935.3,99.78206804988817,73652.39
31,98.22131881393304,45778.914,98.65992503776975,73468.2
32,98.06528442246574,45693.29,99.02782066299416,74424.29
33,97.53809535102684,45346.883,99.01127301182892,73270.8
34,97.28347332337323,45105.465,97.87067701685147,71746.49
35,97.27257901880921,45194.113,96.9389048578065,72697.33
36,96.85940365330512,45181.773,98.85309729007713,73407.57
37,96.85196087139995,45042.31,97.65859197073978,72258.26
38,96.75651979145883,44990.12,96.98458712655068,72294.32
39,96.61880840573993,45016.586,98.39980710746995,71416.38
40,96.46524505054249,44766.656,99.1916936319895,74227.31
41,96.37657002541198,44851.84,95.9310240287183,71420.734
42,96.35442038844613,44836.79,98.390611580902,73796.36
43,96.48627899975335,44975.074,99.00903277903844,75020.234
44,96.0520094743296,44780.773,94.73965601015139,71320.984
45,95.73383957698566,44512.387,98.54173779206943,72050.1
46,95.41487336158752,44269.605,94.08122610352534,71244.336
47,95.33605273931968,44328.12,97.63228411312792,71630.44
48,95.23305906568255,44183.684,95.74726551306019,71407.164
49,95.17605717943496,44218.867,95.2212970293794,71406.2
50,95.14934639269565,44223.934,99.42343287216285,74461.29
51,94.95448899870159,43816.61,93.93725298236703,70999.95
52,94.76732639605258,43915.54,94.523621167547,71478.87
53,95.90551472711964,45153.277,96.4900730936323,73065.3
54,94.74824662969894,44026.652,96.2137165439838,72344.484
55,94.5659149704861,43975.98,94.790737255296,71031.32
56,94.52023090534851,43713.906,94.60829891039184,70499.766
57,94.14496880819817,43667.535,93.11803768113647,69988.05
58,94.27538634248141,43709.9,93.82889105556741,70268.65
59,94.18433945519584,43587.688,94.34078330514845,70559.266
60,94.21059156165404,43764.344,95.62740115311955,70447.67
61,93.91204809942165,43430.746,96.01342630152153,70882.375
62,93.81681889345666,43392.844,93.81519991288155,70506.45
63,93.98916136016365,43469.645,93.34364425612786,70128.12
64,93.81307195615368,43509.44,93.02511673110435,70025.586
65,93.86830502798577,43455.96,95.0710274510552,71954.55
66,93.55373281490903,43252.05,93.03768105795743,70872.336
67,93.72246622538366,43299.9,94.31910677611191,70644.09
68,93.3801101586398,43184.883,96.62542176687161,70636.71
69,93.33902631687516,43168.49,92.47400564228074,70056.06
70,93.33572634829193,43268.797,94.46280824930844,71093.39
71,93.1713396000261,43149.445,93.94910800868708,70412.17
72,93.09075011325484,43014.3,92.99118887488744,70382.086
73,93.02526287371371,43047.42,93.84719373988949,70476.17
74,93.0321667424771,43082.11,95.28197974114832,70776.62
75,93.17471299652291,43158.68,95.32508547527063,71193.56
76,92.8838969649387,42972.363,94.33070108555405,71662.375
77,92.81540492903285,42985.43,92.30757026913254,70273.07
78,92.84070847515298,42982.09,94.36930745815445,71197.17
79,93.13174673088459,43268.793,94.64361646614601,71502.51
