epoch,loss,rmse,val_loss,val_rmse
0,134453.71230181525,366.67932,77752.75958518896,278.8418
1,76013.7436985048,275.70575,75987.06834825953,275.65753
2,73040.23698668921,270.25958,73329.78484197153,270.79474
3,69460.55018936285,263.5537,67638.89232353507,260.07483
4,66906.33244157038,258.6626,67467.47858429728,259.745
5,64522.05615644695,254.01202,64391.905986578604,253.75562
6,62520.407137317816,250.04076,61336.28065950973,247.66162
7,61239.80237842207,247.46672,59842.096143632574,244.62645
8,60077.09954577534,245.10632,61982.33173889793,248.9625
9,59297.363264837186,243.51056,62436.80518784839,249.8736
10,58559.03910763524,241.98976,57262.13697882153,239.29506
11,57737.37779941078,240.28603,59222.388982346805,243.35652
12,56919.0789928276,238.57706,56064.77408889696,236.78001
13,56049.67980444131,236.74826,54958.950721013294,234.43324
14,55574.5338565602,235.74254,56731.37636339606,238.18347
15,54968.32624881007,234.45332,53797.698767431495,231.94331
16,54984.195771033024,234.48724,54537.0983508907,233.5318
17,53994.00617019269,232.36613,53889.367866304965,232.14084
18,53834.06790494518,232.02173,53993.39450018759,232.36478
19,52996.348102473414,230.20947,51858.47537481972,227.72456
20,52403.024789505645,228.91708,51735.97152673559,227.45543
21,51762.31938107274,227.51332,55039.065475291376,234.60405
22,51112.270536534925,226.0802,54610.22671415764,233.68832
23,50826.10422753086,225.44643,47145.69090986055,217.13057
24,50334.90010237494,224.35442,48786.69487107883,220.87708
25,50009.47943474265,223.628,50543.3416596827,224.81847
26,49815.04309082031,223.19284,47969.733371562426,219.01993
27,49401.533544716716,222.2646,47273.93531390694,217.42567
28,49130.70091952797,221.65453,44595.81476116054,211.17723
29,49071.39012851234,221.52066,45295.63557614066,212.82768
30,48905.685149890036,221.14638,48210.24863751754,219.56831
31,48211.36473583574,219.57094,48672.31503904727,220.61803
32,47940.4117903509,218.95299,46190.79347229598,214.92046
33,47744.14975975742,218.50433,51566.70868669359,227.08305
34,47586.838680491725,218.14404,44521.09151761787,211.00021
35,48183.830334575236,219.50816,47815.29835153022,218.66708
36,47435.68160985097,217.7973,44717.645204877896,211.46548
37,48015.82355197939,219.1252,47588.84797357381,218.1487
38,47083.58906721869,216.98744,41498.92876674324,203.71284
39,46782.48345690815,216.29274,43458.621633687726,208.4673
40,45861.34725003283,214.15263,42599.29901708798,206.39598
41,46154.49476123457,214.83589,48874.36387904907,221.07549
42,46025.65600380777,214.53601,45718.36908885432,213.81851
43,45359.37768246947,212.97745,44719.98265408172,211.47101
44,45684.12451479615,213.73851,45076.82259924135,212.31303
45,44883.84544411026,211.8581,47365.26378927263,217.6356
46,46181.22415494518,214.89807,46085.64990854862,214.67566
47,44904.334587545956,211.9065,50378.05497985207,224.45053
48,44773.01494797137,211.59637,40896.893469798815,202.22978
49,45651.00288044906,213.66092,46603.33201054173,215.87804
50,45495.631983652835,213.29704,42514.137303149604,206.18956
51,44149.76282764082,210.11845,43868.28030137844,209.44756
52,44130.72278601382,210.07324,38498.25523675645,196.20973
53,43498.103235581344,208.56195,42968.468395523116,207.28839
54,44531.99046415441,211.02606,41175.38336431453,202.9172
55,43618.700112735525,208.85089,39867.89181557335,199.66948
56,43695.64333208869,209.03506,45311.53438501915,212.86507
57,43887.77311796301,209.49414,44868.931636818335,211.82286
58,43829.279690269665,209.35442,41608.55136488827,203.98174
59,42775.490370806525,206.82251,37878.25264213183,194.62337
60,42986.46621319426,207.33179,38245.16290146639,195.56367
61,42581.58833325811,206.35312,40592.55641572708,201.47592
62,42479.50078832803,206.1056,39318.810172146645,198.28969
63,42390.38739423992,205.88919,40735.8104096827,201.83115
64,43374.59067054556,208.2657,42028.28862107883,205.00803
65,43826.45118982652,209.34767,46276.373466674304,215.11945
66,42446.30644726152,206.02509,40047.387263864795,200.11842
67,42670.931343655626,206.56935,40561.358189603714,201.39845
68,42239.372226747146,205.52223,37197.98346353151,192.86778
69,42690.17428717092,206.616,39122.79405136626,197.79482
70,42943.32848197873,207.22772,41919.86617127202,204.74342
71,42571.08607803473,206.32759,39364.9401596425,198.40599
72,41640.003008674175,204.05876,36749.09033557145,191.70049
73,41765.564113584885,204.3662,40813.03716419101,202.02237
74,41271.40857343914,203.15364,39820.11101932813,199.54977
75,41184.79252560399,202.9404,40026.73204638531,200.0668
76,40718.88763273864,201.78928,37246.25882948931,192.9929
77,41674.884413775275,204.14427,38415.4527211887,195.9986
78,40288.59977658055,200.72015,36362.594205581976,190.68977
79,41725.51618611312,204.26822,43320.51856618364,208.1358
80,40719.38363826976,201.79039,37659.628677088614,194.06088
81,40949.93111746652,202.36089,37233.800546759274,192.96062
82,40182.49146431033,200.45558,36064.46351583208,189.90645
83,40260.70513300535,200.65059,36092.19234771503,189.97945
84,40860.7918798623,202.14056,35467.557127269385,188.32831
85,41457.251327386424,203.61061,39574.97109673443,198.9346
86,39921.785686589086,199.80432,36767.95895255126,191.74974
87,40009.82129265281,200.02457,42464.211309030754,206.06847
88,39676.59655248818,199.18982,35265.75273273052,187.79178
89,40510.03566248277,201.27103,35175.02174170573,187.55005
90,40162.438779173775,200.40569,35980.4997046026,189.68526
91,40133.23099960199,200.33287,42384.8444414431,205.87581
92,40266.90490107176,200.66612,37056.53008424612,192.50073
93,40111.32079052324,200.27805,35439.82969730598,188.25471
94,40422.574033080025,201.05356,41538.53389304543,203.81004
95,40134.48104268563,200.33588,39200.19295860904,197.99039
96,39567.00701237526,198.91455,38858.441857568505,197.12544
97,40294.871664608225,200.73584,37529.08324329295,193.72426
98,39562.69050046777,198.90364,36888.72932507479,192.06438
99,39351.909922367384,198.37312,38282.449158452386,195.65903
