epoch,loss,rmse,val_loss,val_rmse
0,142600.94067793133,377.6254,105452.400670948,324.73438
1,75137.04630260308,274.1113,103038.80498046114,320.99658
2,71535.17547350972,267.4607,102778.72579263955,320.5912
3,67549.86792402508,259.90353,97349.22626862527,312.00836
4,64410.071889156054,253.79158,93065.02239142774,305.06555
5,62261.2863502823,249.52213,91795.33281755526,302.97745
6,60535.964470358456,246.04057,93465.64211325475,305.7215
7,58632.629378118436,242.14178,87816.79508799798,296.339
8,57246.25703083968,239.26187,90647.1548570642,301.0767
9,56463.27866600742,237.62004,88020.03175034838,296.6817
10,55630.36956017758,235.86081,84941.50304137512,291.44724
11,54536.01701290868,233.52943,85078.77598157208,291.68265
12,53896.9108096852,232.15715,84064.19919895534,289.93832
13,52879.330465877756,229.955,90276.74246614806,300.46085
14,52297.413318794315,228.68614,81041.57376895416,284.678
15,51458.046675994614,226.84346,83885.42950127782,289.6298
16,50927.2548807609,225.67079,80757.4787735648,284.1786
17,49997.6416015625,223.6015,79539.16267854793,282.0269
18,49943.38966279871,223.48015,82013.60642468036,286.3802
19,48975.10909085314,221.30324,79631.43408998719,282.19043
20,48690.420225512076,220.65907,80063.11392412001,282.95422
21,48456.341754817164,220.12798,79427.21224364378,281.82834
22,48530.85888466715,220.29716,77465.86000675455,278.32684
23,47566.290903812696,218.09698,77283.70189407597,277.99948
24,47781.51786278476,218.58977,80988.18689245585,284.58432
25,47647.08913902475,218.28214,77086.18014688864,277.64398
26,47041.5185577649,216.89064,77265.27881921435,277.9663
27,46744.73867208016,216.20523,77900.7342364373,279.107
28,46686.05667447643,216.06963,78820.56262272697,280.75
29,46458.37003973953,215.54196,76947.52428044847,277.3942
30,45946.40170416311,214.35115,77167.76379094756,277.79083
31,46168.78650979435,214.86934,76612.07933491122,276.78888
32,46496.91572378463,215.63145,76096.58210372896,275.8561
33,46060.717707786236,214.61758,77658.35167944084,278.67242
34,45895.2842873966,214.23187,76881.97960615913,277.27597
35,45110.05559123063,212.39128,75431.97976527784,274.64886
36,44899.61041003315,211.89532,76150.22401431673,275.9533
37,44776.26270762211,211.60402,75762.83620198726,275.25055
38,44530.67379735097,211.02292,78307.46213553441,279.83472
39,44416.95571822479,210.75333,72678.78046156302,269.59003
40,43888.438780199576,209.49564,74669.42029492842,273.25702
41,44931.89540933561,211.97144,78091.4626340556,279.44852
42,44112.180918461134,210.029,74634.98091230291,273.19403
43,43650.84142963826,208.92789,76642.37245151219,276.8436
44,43762.13206828141,209.19391,73437.80839032169,270.99414
45,43370.53292821035,208.25597,73763.34243700422,271.59406
46,43777.224965840825,209.23001,74150.56036765709,272.30603
47,43751.917797441245,209.16953,75443.63366245273,274.67
48,43951.34808093159,209.64574,72693.94417225079,269.61816
49,43079.28412993615,207.5554,75545.9602460569,274.85617
50,42665.916509035254,206.55742,74612.54288728732,273.15295
51,42372.45121136834,205.8457,72296.29079438148,268.8797
52,42053.944254386326,205.0705,75504.93111180274,274.78162
53,42322.09027048319,205.72331,71868.3772261392,268.08273
54,42116.99467917049,205.22418,72855.2360423204,269.9171
55,42020.539707215896,204.98895,72775.50931902677,269.76935
56,42474.77501928506,206.09409,72988.29635912042,270.1635
57,41980.31339193392,204.89096,72915.29545084953,270.02832
58,41463.27611484047,203.62532,73995.35310709344,272.0209
59,41729.02479360885,204.27678,71461.70301232264,267.3232
60,41726.85587599297,204.27142,71053.69348941077,266.55902
61,41835.894110671616,204.53827,72347.1467354628,268.97418
62,40921.023603166854,202.28943,70727.27075836736,265.94595
63,40979.00744526326,202.4327,70877.64693432311,266.22858
64,41195.71752621947,202.96732,70034.11217236774,264.63956
65,41272.552996467144,203.1564,70060.96197626345,264.6903
66,40024.804550042674,200.06197,72827.14870076913,269.865
67,40688.34931445723,201.71353,75911.34749195422,275.52014
68,40475.55849065701,201.1853,74617.62210464865,273.16226
69,40386.5396102777,200.96396,70901.19935350603,266.2728
70,40135.1873943425,200.33766,69381.75413434552,263.40417
71,40238.30626159155,200.59485,72047.64224861986,268.4169
72,40744.94538174156,201.85373,71651.4344344906,267.6779
73,39786.25550598658,199.46489,69456.69132341692,263.5464
74,39844.58675916656,199.61108,71465.51177265242,267.33032
75,39331.60923497817,198.32187,69386.45805372091,263.4131
76,39282.35692795184,198.19789,68815.58421003426,262.32724
77,39019.30417767693,197.53302,70130.17323108726,264.82104
78,39968.82209841945,199.92206,77420.16835596423,278.24478
79,39432.21537665359,198.57544,78652.67808687242,280.45084
80,40609.62930887687,201.51833,68993.45900401741,262.66602
81,39539.320693585054,198.84496,72006.55784391263,268.34033
82,39086.9182964934,197.7042,71066.99620048895,266.58392
83,39477.81270721179,198.69012,69605.43057452967,263.82843
84,39201.49121965681,197.9937,68019.38241493164,260.8053
85,38876.98265524471,197.17256,71636.41910024387,267.6498
86,39179.699462890625,197.93863,73142.89219106305,270.4495
87,39178.05366016035,197.93446,69832.23897071363,264.25793
88,38929.96926290047,197.30682,69643.74776167946,263.90103
89,38363.00388368238,195.86475,71517.29639079189,267.4272
90,38164.590782870764,195.35756,69187.7617397628,263.0356
91,38595.92234840713,196.4586,72625.37256967115,269.49094
92,38318.48713594324,195.75102,68147.18687555425,261.05017
