epoch,loss,mae,val_loss,val_mae
0,91060.1186399644,171.42789,75501.25210352676,148.85345
1,65749.25611249967,144.19843,70494.60915149524,139.03792
2,60201.421873649524,133.57115,64217.80562170149,123.72234
3,54204.65538725952,120.24082,60498.335811465906,119.028404
4,51859.75686258176,114.28488,58723.786727722465,111.22012
5,50912.48167969192,111.49654,58235.20675360383,113.56294
6,50349.49045918219,110.007454,57535.35696219752,108.46531
7,49807.562815836776,108.77081,57726.18630380575,105.70282
8,49051.916913265464,106.507545,57237.87019827858,105.99541
9,47942.63676140884,103.46212,56100.71193964048,105.08595
10,47250.00856329554,101.80701,54017.246168870195,97.43424
11,46812.58843865835,100.041016,54253.31998272962,98.9855
12,46113.301766229604,97.93845,52745.59823788685,93.931854
13,45379.890264865135,95.5843,53248.09146121442,93.80001
14,44744.14532739259,93.20436,51812.784769715865,89.68711
15,44389.4384452298,91.98249,51518.87887627454,90.74069
16,44132.67711728487,91.210815,51286.960666752624,87.72722
17,43891.13379802319,90.29253,51015.14558123825,88.41571
18,43713.59209009771,89.896385,50704.42015292405,88.55871
19,43508.58299369835,89.16192,52708.26100700433,92.552734
20,43346.85757671023,88.526306,51026.14512696684,90.44691
21,43082.89084335209,87.69328,50204.38044859423,85.1981
22,42903.910400057255,87.02651,50119.17001999117,84.70534
23,42778.92338590001,86.649864,50891.308734872684,86.40677
24,42603.53869476341,86.20982,50809.46359898178,93.020226
25,42466.103288632316,85.64214,50558.60350521629,84.45619
26,42425.98218765909,85.32269,49494.88591542386,84.894226
27,42270.50976026026,84.94057,50691.550031500454,92.86291
28,42178.03209426065,84.92282,50248.50559314613,84.21081
29,41999.34915875945,84.086105,49925.10607895027,82.92349
30,41922.20751555202,83.92923,50690.827883501894,97.227585
31,41858.525872056205,83.88282,49079.668280365666,84.803154
32,41704.21811120037,83.58328,49439.177230964815,81.50056
33,41593.332299098234,83.14609,48785.59808716234,82.50394
34,41544.40180267711,82.82753,49294.60949893622,82.70766
35,41507.76059342303,82.83187,49398.80256654471,84.752106
36,41362.58520539451,82.55537,51014.37962017424,94.34472
37,41284.07869736311,82.38441,48564.694205021806,81.480576
38,41220.8979413877,82.1691,48568.51663577406,81.90315
39,41165.56105708234,81.863815,48856.91961425338,80.35074
40,41028.67655554718,81.67473,50805.9343731926,88.0219
41,41064.54598880034,81.685814,48817.387949196156,80.66715
42,40969.525894683014,81.41634,48217.96479876664,79.02308
43,40845.46302405437,81.06791,49034.14738256963,82.70472
44,40826.551930537265,80.88131,48816.806452905206,83.763794
45,40816.598267263,81.02344,48559.816935076786,81.53854
46,40743.33257769081,80.71812,48422.94818489927,81.408005
47,40672.82486048203,80.600395,48647.6379179297,81.05219
48,40661.95800312028,80.42772,47878.22998091253,78.67179
49,40590.848372188026,80.23545,48355.164904596546,79.0386
50,40549.26102771505,80.13418,48345.97971807254,81.83582
51,40539.48421386999,80.174736,48391.46745455995,81.76005
52,40451.32555969414,79.87587,47982.51136602399,79.18884
53,40374.112706767744,79.79509,48320.50209703141,80.1982
54,40336.50719396597,79.56378,50583.686969317394,94.637405
55,40305.13276385852,79.689705,48534.27657050018,80.036705
56,40281.04581138714,79.59926,48104.85130603434,78.75572
57,40244.49535311274,79.43505,48030.17469878498,79.366234
58,40157.99714788406,79.14814,47457.23608963251,77.24939
59,40155.253780271596,79.09277,50161.17820510669,85.773476
60,40097.014257611205,78.9946,48158.71723468613,78.18659
61,40040.47450850564,78.83534,48217.16816078658,79.64346
62,40028.02450537662,78.8615,47846.54758093616,80.02113
63,39995.56750151831,78.67057,48138.71503939736,78.91953
64,39943.13557646991,78.865906,47828.94007853489,77.9319
65,39919.116339818574,78.53781,47972.03981097871,77.4307
66,39878.54455247261,78.522736,48066.06954687516,78.098175
67,39887.98509598319,78.41541,47764.272309204396,76.65327
68,39828.81814862463,78.2016,48129.34099951975,77.61357
69,39806.34977253603,78.07186,47898.50586020205,76.57781
70,39752.244660107295,78.12024,47992.08231397949,78.148415
71,39678.332885233634,78.0929,47656.465222679326,80.73396
72,39709.49061408749,77.84882,47589.28250265543,77.68733
73,39690.84663431922,77.93834,48633.49608156617,79.80998
74,39639.78728080025,77.711525,48292.731083529296,79.623886
75,39614.085960889366,77.76885,48300.80620922853,79.697174
76,39561.0811760778,77.578995,47068.7107031831,76.34765
77,39570.73911062783,77.56655,47602.80253431,76.83656
78,39550.614949518436,77.58697,47575.97191448853,76.79724
79,39487.81854230051,77.5004,47898.78283779154,80.605736
