epoch,loss,mae,val_loss,val_mae
0,80283.48493636957,170.24191,95490.45877409469,154.56999
1,67822.05061266603,149.19843,89608.12780779801,138.3
2,63918.588163616274,142.54283,88525.06552888926,140.04497
3,62337.61334590751,139.16592,86724.4563293005,134.6726
4,61067.94693118183,136.86919,87611.89989012435,133.49109
5,60101.362697473094,135.23207,85654.66980295471,134.09714
6,59405.14704907842,133.77106,85703.90881234407,129.69562
7,58760.494788706805,133.08994,85903.13653755262,130.45561
8,58276.306727786025,132.15857,84606.74911137152,131.49065
9,57806.53749097295,131.74686,85351.23300703595,127.05694
10,57274.83380630237,130.62845,82447.86091076197,126.43816
11,56940.22836986509,130.05438,83929.27075486523,132.58572
12,56633.940369037016,129.39404,82907.76401036388,125.90704
13,56563.80899227367,129.61928,83001.09327188255,124.73184
14,55751.61410952015,128.21555,88713.68471108307,132.99686
15,55448.779166085376,127.921074,82558.57165244699,129.15996
16,54977.42642417074,127.39053,81199.70624585834,129.51236
17,54716.534407351195,126.759995,82241.44137549213,126.84553
18,54571.64063397576,126.33883,81954.49488779771,129.9338
19,54269.30958124369,126.13284,79341.05674614583,121.74688
20,54080.84560153865,125.59153,79407.29682871093,123.25084
21,54133.40080504858,125.61601,78979.92006607157,121.754524
22,54302.211542145546,125.659,82690.3343575807,127.30165
23,54270.77342656881,125.625175,79712.35088034517,122.09144
24,54126.68585371771,125.47661,80871.61634211526,124.575424
25,53606.440257160604,124.768814,80581.747256154,124.46522
26,53027.713322423086,123.97899,81546.08740261021,128.55435
27,52849.016827591324,123.78371,78013.65935258634,120.99783
28,53203.41041007162,124.239044,78079.16184062426,119.03444
29,52654.99804758024,123.90727,81363.88928474848,130.02686
30,52683.78983758878,123.5098,80697.03037538005,122.70272
31,52473.606459609604,123.29647,77982.94059284127,122.46044
32,52650.497049347694,123.66627,80475.97359664916,128.4418
33,52713.86741298387,123.74913,77656.42336599555,123.02247
34,52128.252095358715,122.908875,77705.67919080601,118.012794
35,52413.04789810822,123.24749,77639.54615812836,117.97348
36,51991.89363043649,122.48228,77281.37916236259,117.759315
37,51743.869748636454,122.44972,84869.3614744533,125.16517
38,52094.50501308922,122.65636,78391.45509837648,119.430695
39,51897.527743652085,122.39382,77591.74906873684,117.476845
40,51452.37859350894,121.69874,77023.8514257645,117.64271
41,51532.27103347137,122.00954,77193.59314519666,119.02939
42,51244.91436190565,121.26332,78116.90808999084,121.35637
43,51594.46209534076,122.1284,79543.64751963632,119.802826
44,51751.605998864696,121.880905,76626.46645077279,118.60048
45,51033.48565260302,121.188774,78094.71803952356,121.794586
46,51167.31309640708,121.150734,76183.91470780628,116.96639
47,51208.46909774652,121.42032,83358.85361079169,126.15001
48,51231.4178472567,121.33378,78959.31563121248,120.84183
49,51147.23862713726,121.28081,79500.70880820243,123.97249
50,51101.12826929172,121.05628,75442.65329176249,115.18445
51,50906.06178184317,120.74932,77152.13978783767,120.97396
52,50938.75753575814,120.82424,79390.11879178198,120.23657
53,50829.663971139606,120.67322,77397.52520805722,118.242516
54,50692.6966762703,120.53985,77315.78327514714,119.54531
55,50781.780129088074,120.89737,77727.14488054982,122.71226
56,50530.01060633299,120.40004,76173.51220813519,117.50989
57,50774.19280435258,120.940796,76362.15179467628,121.71897
58,50994.30999246165,120.946815,77942.60849855286,121.3057
59,50293.575596689174,120.30201,79069.52771923969,124.98655
60,50404.627817714914,120.588524,75956.80757934922,118.09899
61,50915.79301013466,121.38587,77070.78900646586,117.66333
62,50355.926916587254,120.43264,77433.48511806151,122.06601
63,50533.51016517447,120.744385,77026.20813761986,115.88147
64,50479.627999506076,120.36222,76918.76187436657,120.83491
65,50354.758433686584,120.272224,76979.56265470297,122.066765
66,50514.784100636716,120.22567,75320.26142091633,115.94798
67,50163.80979156494,119.75574,75792.4704200612,115.279564
68,50136.92887105862,119.78319,77757.63354338017,120.762184
69,50052.75608158913,119.38961,76219.32961630009,117.168846
70,50077.25502078273,119.34319,75118.61876132865,114.94634
71,49981.32376831119,119.12226,77494.03216786368,117.64011
72,49766.70514717422,119.07136,76197.22486929427,115.96007
73,49960.352869819195,119.46157,75274.63942909731,116.17041
74,49969.36698525693,119.509186,87981.04233136158,123.27583
75,50231.28839345339,119.715256,76134.96757480559,119.62845
76,49674.67118569382,118.99967,78694.43052283513,125.773415
77,49728.70070346865,119.17956,78780.06767128177,126.52827
78,49903.01687352797,119.52678,75563.894535818,122.14012
79,49537.36431237229,118.940056,76173.43088005282,115.137726
