epoch,loss,mae,val_loss,val_mae
0,88222.67460843896,175.78188,98003.42887135046,157.6174
1,68425.9480027912,151.29648,90159.43515448371,143.67035
2,62625.97992267128,140.63315,103481.52013513974,155.09682
3,59307.70017736098,134.86853,82555.19591760788,129.22086
4,56353.294349189564,129.51733,80533.39979145552,128.50279
5,53823.68307604109,124.74501,79876.97561631471,129.70592
6,52020.4952333274,121.62525,76823.04692189815,116.677895
7,50704.49660703515,119.44592,75951.61210544652,118.68953
8,49502.692915491694,117.66188,75763.67006485343,121.00896
9,48698.30599449863,116.11342,77081.30900882903,116.31927
10,47663.6831105657,114.58234,76515.76664884131,122.70747
11,46902.287294243564,113.5904,74150.31892595941,112.146996
12,45890.44229991496,112.2835,71874.19174245487,109.04833
13,45456.88824982203,111.81468,70980.95032146547,107.04204
14,44843.98644663706,110.90138,72493.41500259463,110.0751
15,44155.7839685969,109.77186,70892.62618311228,106.2683
16,43629.63841183446,108.99501,79307.41173769197,119.20021
17,42976.03722864039,107.994026,69899.57027686959,105.39651
18,42702.71005951056,107.52775,69848.78176344332,107.48165
19,42139.098105630954,106.53612,69124.17238296173,106.28335
20,41670.147785875975,106.05556,67842.30967910706,105.34048
21,41476.75098560237,105.97346,69172.11597332532,105.65977
22,41188.85052814003,105.71054,68295.42911467266,103.77254
23,40692.706757457316,104.099144,66708.20238346116,103.41089
24,40437.72363989694,103.792885,69882.36459378898,115.5285
25,40149.132389870014,103.450676,69684.10955863365,112.10809
26,39670.261540965876,102.80096,66207.84936255067,102.99339
27,39417.99879314519,102.25857,65760.25488882704,101.306046
28,39002.03639421543,102.33088,67696.22487980066,100.78188
29,38727.32218873801,101.33726,64609.52016772482,99.2728
30,38569.91346939471,101.54361,68608.48778805815,104.55774
31,38731.43801033597,101.067696,64719.146873111895,98.79445
32,38016.386856014986,100.24146,66618.69410045704,101.28693
33,37402.653847942835,99.72837,66926.55445727275,100.500275
34,38009.34356399344,99.53473,66853.18829513673,101.11252
35,37162.57381418372,98.92838,65630.2929536756,100.13487
36,37226.47739772636,98.817795,64781.142326732675,97.36021
37,36863.31705123837,98.32766,64833.65886350569,97.28255
38,36795.47438124649,98.10897,66720.63892174466,101.787926
39,36634.54739940868,97.563515,66651.3466680391,106.616035
40,36493.59149224417,97.42022,64878.72228959178,96.7105
41,36419.42424560996,97.5061,64476.29200216097,96.92083
42,36444.629993134185,97.129135,63017.91733836585,96.661194
43,35580.09007804935,96.14547,62911.0331926186,96.571304
44,35474.717902351826,95.78736,63512.6932447943,93.947464
45,35513.110596985374,95.55661,62822.86074113686,94.07376
46,35820.88548565712,95.80405,68624.95122988861,104.84436
47,34911.6659396997,95.0742,62502.99824588758,92.776505
48,35298.012114629026,95.163475,67011.0407636236,99.60999
49,34956.152722318635,94.47938,63529.007316567346,94.37467
50,35441.70280336332,95.1134,64537.84666377563,96.95042
51,34959.98208560463,94.289894,67650.384485302,105.25999
52,34851.452334315836,93.96407,62122.83062993953,92.76487
53,34433.447407922824,93.92132,62988.007748547985,94.83297
54,34389.32180488009,93.5118,63427.856114360824,95.54987
55,34169.9875188555,93.12249,62136.27665375343,96.82233
56,34231.5773426665,93.06774,63643.962466714496,95.65795
57,34107.41076870125,92.79355,63761.11171138029,101.75983
58,34323.09747357729,92.89531,61306.99320532678,92.571266
59,34247.08425850428,92.56938,62112.069757487865,92.128456
60,33839.99327805463,92.278564,62792.29043023566,95.75312
61,33550.670562856336,91.7903,60806.592527450644,89.36565
62,33601.701677594865,91.682625,61184.88396264654,90.424736
63,33655.01587402921,91.718956,63152.40212440981,92.91405
64,33307.47589380601,91.389336,60802.13191534459,88.72772
65,33520.16880347949,91.46729,60802.16211516113,91.03733
66,33395.59361970725,91.4465,63375.08665376257,95.36612
67,32990.78024833743,91.00745,62411.36350059019,94.306465
68,33131.283729296774,90.8422,62398.46322477428,90.6711
69,33076.325827286026,90.91427,63450.31693187466,93.20171
70,33094.7674815234,90.805305,59913.737235330016,88.96546
71,32942.43303026472,90.69052,61552.594781454645,91.69921
72,33115.60308586249,90.794945,63252.87019613779,92.88149
73,32717.303595550922,90.335365,60964.79904297332,89.368546
74,32830.61579941501,90.09876,61126.14253351086,88.07345
75,32789.38604698662,90.07854,60648.975034808165,88.024574
76,32510.002435924627,89.82198,59928.75405920191,88.51181
77,32646.140718428025,90.12525,61575.57163980885,95.48036
78,32465.65668098065,89.563995,60842.5757274085,89.2589
79,32592.858817573357,89.55672,60421.63745770031,89.16017
