epoch,loss,mae,val_loss,val_mae
0,836775.1880810593,538.0011,709260.6847518306,498.90994
1,683952.6241183847,487.98547,684079.7900243029,537.5535
2,662311.6658751509,477.54343,630046.7558412689,457.482
3,645062.1526639733,469.75928,608973.413972604,471.5338
4,627478.9841760136,462.75882,598110.2833635429,467.5842
5,612165.3099671655,456.31696,592300.234256078,440.6972
6,597807.0822885262,448.7594,581334.2331795802,429.2319
7,584386.908258493,442.7413,560394.7231906946,433.25113
8,575663.4814682798,438.44498,559283.4749717067,421.23325
9,568603.3055726157,434.96814,538708.1034683521,426.52423
10,560861.1938922451,431.3859,547145.6325614111,430.63406
11,555219.8300288382,428.19995,530032.1739378179,431.3979
12,548883.9551425108,425.1955,536428.51893509,422.8643
13,542905.1860516828,421.46884,534012.7711669913,433.55832
14,537322.7573817188,418.4139,517545.4792962973,415.22018
15,530756.6851980704,415.2091,517029.52055885457,414.86063
16,527532.1020115543,412.83313,498594.9408269983,400.3994
17,522955.89631468186,410.20386,498482.30281377374,405.47665
18,519252.9066484474,408.26236,493840.8914577359,399.70383
19,514951.315381209,405.1892,499638.3318231365,419.30856
20,511893.2247345424,403.42755,491174.1694554161,402.46268
21,508453.6307534595,400.9502,503562.6419069342,427.58875
22,505598.8166885627,399.5293,484613.25418960565,401.73206
23,502200.8711771356,397.13345,475784.7174601752,399.34692
24,499930.71466413426,395.7736,471917.2076554497,388.7994
25,498806.24292595667,394.91406,474799.18576323136,390.26
26,495355.6732771599,392.9125,462882.84254584415,384.75894
27,494784.09479013993,392.00644,476042.0880076448,401.7917
28,493121.06330092915,391.10983,483307.9994005992,393.85822
29,489782.07223983214,389.60898,469991.8718840741,376.7395
30,486801.81070402026,387.67578,474371.17461640603,392.24036
31,486577.36228646635,387.35757,466259.7281983822,383.08795
32,484433.8199596759,386.0901,459998.7867680378,385.63745
33,482884.04560867173,385.35696,475225.8618709533,383.92917
34,481770.217243304,384.4739,459775.01339577587,376.20966
35,481784.0772306885,384.07083,464733.3750008454,391.38452
36,479756.63980378065,382.90952,455951.0606702354,378.0034
37,478003.1743505236,381.96088,460178.8114559098,386.2055
38,476686.4221295175,380.9734,451164.3819403113,378.3725
39,476640.6277809446,380.62292,464555.4638060004,372.3849
40,474628.2971629785,380.00302,451654.3147606455,383.61026
41,473880.2008568874,378.76364,454428.0879355026,374.65384
42,473178.0364533102,378.58563,451234.2073622308,373.22006
43,470762.6667384339,377.28458,450480.02475522354,377.70364
44,470845.8106147908,377.24768,455062.21077658894,370.2168
45,469226.9721388201,376.50348,450961.3729943887,382.41678
46,469062.16030459985,375.92917,455264.7831355621,382.77087
47,468267.52814037784,375.15402,456270.44690470234,390.14288
48,467823.4282528876,374.9221,450530.6501818774,377.1137
49,466210.58422855457,373.70596,442140.3464598438,383.89377
50,465635.8511825036,373.41602,455197.16863648867,387.9239
51,464895.3150881283,373.3602,445499.10202804307,364.47833
52,464226.4671963755,372.7941,445036.86516948923,363.5735
53,462610.2522321598,371.84042,448280.8469758301,370.61072
54,462664.69520799356,371.646,442640.70978153293,367.91086
55,462096.9221229914,370.9312,439414.1063151535,371.99545
56,459760.88613617787,370.01984,443698.9788025737,364.44998
57,460012.3100559203,370.0129,439230.47962882806,368.34784
58,458564.8382997663,369.33304,439145.03528320347,364.0571
59,458802.13263558364,368.49924,438759.4786670251,359.3355
60,457827.195376515,368.71875,441335.2065216043,374.75522
61,457913.3190173086,368.30176,443305.27573900734,377.3105
62,457706.9201058959,368.10968,436122.82487098937,363.94232
63,457578.0167955431,368.09995,434038.80223635386,368.86124
64,456542.6013647595,367.22934,449063.2643729372,380.26654
65,456318.38100400206,367.39212,436826.39479938813,363.5942
66,455367.13499868056,366.3114,432333.49851516564,372.45767
67,454853.06707799225,366.586,433114.6136209668,365.651
68,454661.731493435,366.17307,450741.38175770117,362.51465
69,453917.2364670862,365.64142,428014.53215713263,364.73373
70,453110.0715724505,365.30408,431529.4956511741,360.8813
71,452408.28545262344,364.7577,428487.11761274486,366.80698
72,452567.23373686714,364.91687,427718.1039260046,355.64716
73,452932.0844394066,364.8975,452233.3011609832,367.71323
74,452960.6063662356,364.75412,432312.0480721107,366.70148
75,451426.27894617186,364.05426,433250.9108961309,364.39188
76,450998.17337350873,363.64575,432582.73666382604,370.80087
77,450853.2148153615,363.75443,432814.48941199546,368.63828
78,450991.71821735246,363.57492,430738.62795811467,358.39676
79,449845.74635695905,363.00388,427426.9624110621,364.20657
