epoch,loss,mse,val_loss,val_mse
0,219.6944954618312,153316.25,151.42498331732625,79815.555
1,144.6674144825197,67714.086,142.35249766217652,74750.664
2,137.8901152268922,64191.13,136.29225093952184,71172.34
3,132.6312982755667,61476.082,129.80244011663459,67566.37
4,126.15803171282238,58594.33,123.3981850926742,65109.246
5,120.10036287546869,56089.055,116.9588071446,62802.656
6,115.30932150997964,54275.344,113.64338589778353,61347.113
7,112.22903082395787,53069.445,111.46615912494093,61031.84
8,109.9746732465363,52182.887,108.60815518885164,59830.965
9,108.01223950732052,51557.043,106.95974812511176,59120.965
10,106.50092983206865,51061.66,106.84986870444276,59330.85
11,105.10913840582474,50642.625,107.47309966198839,60375.98
12,103.74276884032813,50223.64,104.17606372103596,59388.633
13,102.87607025633801,49884.04,103.7271995263918,57928.914
14,101.68157904864559,49527.18,101.16769750589262,57832.996
15,100.91950301197032,49232.81,100.54369419302456,56468.66
16,99.91892436383102,48856.06,100.6640591098584,56303.28
17,98.99935723706392,48506.367,98.81697612536463,56538.33
18,98.24916452340337,48241.176,99.13481268795681,55463.824
19,97.63293162218923,47988.867,99.31927745472072,56825.688
20,96.84290670980505,47673.13,98.04229331818296,55122.12
21,95.94324567069813,47347.684,95.4798055114721,54846.67
22,94.95245891637302,46918.94,95.04074387218226,55175.88
23,93.86563767168133,46550.445,92.83110714203009,54270.207
24,92.88963416542217,46136.695,91.19384854192292,53453.22
25,91.73854738857875,45687.195,90.58768086298275,53094.348
26,90.64450732905424,45387.74,91.88002702148357,53563.77
27,89.97412111770446,45151.56,88.6581787302269,52476.55
28,89.32233898747735,44925.684,89.91840453007237,52697.45
29,88.76331928558776,44744.99,88.94580499843991,53163.016
30,88.43231880330454,44593.605,91.18593014506952,53251.44
31,88.01577317861192,44460.23,90.34924745878818,52081.5
32,87.38809615368376,44281.695,87.35474137110246,51975.973
33,86.95445387341681,44128.312,90.68687039182805,51750.812
34,86.96605386273416,44062.85,87.15613730332186,52190.887
35,86.32434814028979,43875.957,88.96414945114351,52712.215
36,86.23374082437125,43841.742,85.90972822287512,51870.973
37,85.7475617360968,43710.273,95.88224398623929,54309.676
38,85.68657734295431,43674.074,86.7153960701297,51720.51
39,85.48513271134345,43629.703,86.8314367434727,51393.52
40,84.91914681021292,43527.977,86.72845499517307,51468.6
41,84.97318565640512,43480.812,84.12561990233145,51212.156
42,84.83688682674862,43428.69,83.79761589407714,50871.645
43,84.29795402871176,43346.7,87.54104290120436,52294.133
44,84.29476552738792,43320.598,86.95952239765822,51985.504
45,83.95649477895483,43211.848,85.33323422075549,51169.863
46,83.9262601957143,43221.594,82.70135859502285,50960.418
47,83.84086982091826,43144.523,84.0370166081688,50896.965
48,83.41624906853399,43072.93,86.17608451764465,51953.5
49,83.48578303346959,43097.29,83.55050633271391,51268.43
50,83.17330969650378,43005.465,86.82976036257737,52302.176
51,83.20490006416705,43017.92,82.46774941464648,50783.504
52,83.21145797444561,42999.402,84.6743657265696,51260.586
53,82.83101440300692,42949.562,83.45946667780022,51040.035
54,82.86463562675011,42901.527,82.9589482685421,50840.98
55,82.60390903187538,42846.434,82.74394557523912,50409.71
56,82.55001565903417,42849.465,84.63539240973493,51781.805
57,82.26912403414414,42791.47,83.64641043108219,50824.49
58,82.3493961510171,42783.31,86.80758105204498,52499.492
59,82.06395527945257,42701.977,82.52117209429387,50877.535
60,81.91417366970815,42690.766,81.86739820883628,50514.363
61,81.85827169149013,42690.902,83.09841003644902,50364.297
62,81.77614955463653,42637.42,84.02744149046772,50191.516
63,81.84763588320533,42654.746,82.75287286449068,51248.523
64,81.48998036109164,42541.043,82.68534198512936,50750.312
65,81.55867050246411,42580.79,82.11362923372583,49999.844
66,81.35057503198531,42519.32,85.3463347579274,50827.55
67,81.1530583003914,42521.77,82.0782420033809,50087.336
68,81.15932488992013,42504.996,82.02786501106188,50129.043
69,81.14208548649427,42488.45,81.8832144410632,50467.12
70,80.95898838076889,42434.242,87.18656467329636,50540.742
71,80.77611615243767,42396.23,82.39068382570174,50778.656
72,80.76680073298118,42365.63,82.91138135690507,50364.863
73,80.758301600645,42345.38,80.29960838771109,50253.05
74,80.50069087098086,42299.547,83.01859742736438,50434.76
75,80.28548649050249,42236.65,83.77714896877768,50139.535
76,80.24667446220381,42193.87,84.26701872137808,50245.86
77,80.290662827894,42219.22,83.28548116840766,50096.637
78,80.02608607068466,42139.227,79.67186421496233,49870.977
79,80.09792388390743,42202.086,82.88409679822269,50335.543
