epoch,loss,mse,val_loss,val_mse
0,425.20904068509014,403166.7,200.22505231231813,113778.4
1,179.11746628819012,89223.89,162.97284763603776,86276.914
2,156.3591516218495,74287.62,154.10810009243173,81158.43
3,151.56247617938425,71313.57,150.89294808539125,79035.57
4,148.32965822728383,69558.22,148.0442950555946,77222.92
5,145.8609247216185,68375.74,146.28440139948273,76835.19
6,144.35603882390407,67757.14,144.94493333617487,76081.56
7,143.200581960503,67306.484,143.85268837875898,75532.23
8,142.28537721021033,66954.055,143.13262628553565,75171.875
9,141.39605567193124,66550.66,142.22961322274136,74899.47
10,140.50748857909426,66137.49,141.26959833672922,74112.11
11,139.4982685467439,65657.164,140.21050960336217,73573.875
12,138.51899190236315,65096.336,139.31867672200735,73584.75
13,137.52053967882676,64583.79,138.28550620237814,72870.91
14,136.48160917636991,64042.156,137.1841739849011,71712.15
15,135.369190353786,63406.52,135.95717888757787,71104.93
16,134.06783076532935,62724.152,134.19951333363747,70518.04
17,132.55170340124835,61969.473,132.65629937201012,69766.914
18,131.04590051894974,61199.855,131.04797433693824,68822.24
19,129.568490736058,60522.29,129.62529873715977,67918.59
20,127.96296177975246,59808.95,127.99221295505912,67453.18
21,126.34803056988564,59110.44,126.33493599493346,66770.76
22,124.73987550089417,58431.656,124.53308271382708,65804.07
23,123.05581206361008,57745.082,122.9187965062121,65482.027
24,121.3924190091553,57141.89,121.19518930384278,65093.547
25,119.73111544836779,56512.02,119.44733526977953,63881.7
26,118.14228879047931,55921.43,117.97914036795945,63312.133
27,116.49555436341228,55295.293,116.17059199782253,62494.914
28,114.905011163684,54674.38,114.4042673357595,62161.64
29,113.29092046118123,54061.383,113.4172833255231,62045.984
30,111.744539030792,53474.61,111.30862699393782,60653.617
31,110.1235365361859,52888.727,109.58600221463868,60245.348
32,108.61450887894864,52322.77,108.09802378787094,59811.867
33,106.88845868373052,51743.902,106.70582695924516,59548.363
34,105.26717598397184,51189.85,104.96812943577777,58951.95
35,103.73145494723414,50684.984,103.18904832961155,57932.89
36,102.31120571442807,50230.863,101.99813806464,57588.344
37,101.01381594764574,49810.55,101.08231942779534,57742.28
38,99.80409445967881,49454.996,99.42859006552501,56948.24
39,98.83700335435846,49180.918,99.03302547162026,56319.44
40,98.00263305337326,48961.164,98.14979930752557,56617.902
41,97.31523564937703,48767.395,97.74762766426046,56027.938
42,96.62116043495723,48557.492,96.5365472853622,56014.215
43,96.00451477053966,48371.004,96.0373679215205,56085.18
44,95.25357301114286,48187.316,95.70307725308936,55537.156
45,94.63066439661489,47968.715,95.23401818349915,55439.26
46,94.14325708982022,47798.15,94.88494631488254,55817.258
47,93.5527329090006,47651.68,93.96563528943906,54886.574
48,92.9950748769643,47475.223,93.46697132419793,54689.402
49,92.5058509057397,47310.668,93.21264799537713,54507.92
50,91.90959948621327,47110.816,92.0849998358763,54351.223
51,91.40221384850489,46949.55,92.00540544651248,54056.63
52,90.83241187952902,46783.312,91.1737785487493,54037.395
53,90.16370668801676,46589.02,90.4658928380804,54221.863
54,89.581325829773,46425.887,89.7121571176241,53666.777
55,89.04447930787542,46255.54,89.28868682906715,53844.688
56,88.5794137455235,46126.668,89.16351899184305,53620.633
57,88.1517566444781,45994.24,88.78514938902916,53721.01
58,87.72708729533834,45869.047,87.97465753165255,53239.668
59,87.35237391550734,45741.027,87.87299816046807,53157.496
60,86.93524137520322,45599.46,87.39571720070654,53247.07
61,86.60168218999608,45488.688,87.33944191673044,53204.836
62,86.290728356999,45420.45,86.64026901937265,52940.18
63,85.97614430139127,45312.258,86.54828473787451,53114.395
64,85.7689612485565,45271.266,86.16128530961703,52768.176
65,85.51633860774044,45167.94,86.19130129618338,52690.566
66,85.2892322678801,45096.156,86.67915510278314,52488.582
67,85.06473990289683,45017.297,85.6704494196118,52686.547
68,84.86039074568534,44944.28,86.00794646165336,52864.3
69,84.68674001736277,44883.082,85.06605703389656,52503.863
70,84.47623419164663,44808.72,85.3401222723846,52559.543
71,84.34810049035325,44763.3,85.31512280151902,52339.41
72,84.11207302044436,44694.37,84.7976031750576,52376.355
73,83.93749998739239,44612.24,84.90651364307959,52315.72
74,83.79974240372606,44587.14,84.49716358552006,52243.863
75,83.56588189825041,44511.684,84.17423121712281,52159.777
76,83.46131936613631,44459.793,84.77228356085365,52300.664
77,83.29847481187787,44415.637,84.2240718030579,52243.137
78,83.19162325440738,44371.832,84.35945021600888,52270.33
79,83.02478463938584,44305.5,83.6632862237626,51901.61
